0,Green,Ind,Liberal,NDP,PC
1,804,0,861,0,1347
2,865,0,663,49,1493
3,675,0,785,124,1373
4,781,0,615,0,1545
5,1152,0,902,38,934
6,805,0,882,31,1270
7,697,0,557,35,1752
8,747,0,1196,46,1300
9,709,0,635,46,1080
10,1057,0,1420,41,865
11,1286,0,846,55,998
12,1272,0,875,338,656
13,1301,0,1223,138,567
14,966,202,1079,56,766
15,879,0,899,57,1315
16,1137,0,1643,48,602
17,1870,26,515,0,1068
18,899,0,489,30,1920
19,1041,54,417,32,1680
20,805,0,389,31,2008
21,1258,0,892,39,1037
22,1302,0,938,65,662
23,1101,0,882,81,1026
24,761,0,1100,33,575
25,231,0,1102,898,462
26,317,0,1153,99,1312
27,584,0,1388,44,802
