,Green,Ind,Liberal,NDP,PC
Souris - Elmira,804,0,861,0,1347
Georgetown - Pownal,865,0,663,49,1493
Montague - Kilmuir,675,0,785,124,1373
Belfast - Murray River,781,0,615,0,1545
Mermaid-Stratford,1152,0,902,38,934
Stratford-Keppoch,805,0,882,31,1270
Morell-Donagh,697,0,557,35,1752
Stanhope-Marshfield,747,0,1196,46,1300
Charlottetown-Hillsborough Park,709,0,635,46,1080
Charlottetown-Winsloe,1057,0,1420,41,865
Charlottetown-Belvedere,1286,0,846,55,998
Charlottetown-Victoria Park,1272,0,875,338,656
Charlottetown-Brighton,1301,0,1223,138,567
Charlottetown-West Royalty,966,202,1079,56,766
Brackley-Hunter River,879,0,899,57,1315
Cornwall-Meadowbank,1137,0,1643,48,602
New Haven Rocky Point,1870,26,515,0,1068
Rustico-Emerald,899,0,489,30,1920
Borden-Kinkora,1041,54,417,32,1680
Kensington-Malpeque,805,0,389,31,2008
Summerside-Wilmot,1258,0,892,39,1037
Summerside-South Drive,1302,0,938,65,662
Tyne Valley-Sherbrooke,1101,0,882,81,1026
Evangeline-Miscouche,761,0,1100,33,575
O'Leary-Inverness,231,0,1102,898,462
Alberton-Bloomfield,317,0,1153,99,1312
Tignish-Palmer Road,584,0,1388,44,802
