,name,ns_name,url_name,url
1,Souris - Elmira,Souris-Elmira,souris-elmira,/boundaries/prince-edward-island-electoral-districts-2017/souris-elmira/
2,Georgetown - Pownal,Georgetown-Pownal,georgetown-pownal,/boundaries/prince-edward-island-electoral-districts-2017/georgetown-pownal/
3,Montague - Kilmuir,Montague-Kilmuir,montague-kilmuir,/boundaries/prince-edward-island-electoral-districts-2017/montague-kilmuir/
4,Belfast - Murray River,Belfast-Murray River,belfast-murray-river,/boundaries/prince-edward-island-electoral-districts-2017/belfast-murray-river/
5,Mermaid - Stratford,Mermaid-Stratford,mermaid-stratford,/boundaries/prince-edward-island-electoral-districts-2017/mermaid-stratford/
6,Stratford - Keppoch,Stratford-Keppoch,stratford-keppoch,/boundaries/prince-edward-island-electoral-districts-2017/stratford-keppoch/
7,Morell - Donagh,Morell-Donagh,morell-donagh,/boundaries/prince-edward-island-electoral-districts-2017/morell-donagh/
8,Stanhope - Marshfield,Stanhope-Marshfield,stanhope-marshfield,/boundaries/prince-edward-island-electoral-districts-2017/stanhope-marshfield/
9,Charlottetown - Hillsborough Park,Charlottetown-Hillsborough Park,charlottetown-hillsborough-park,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-hillsborough-park/
10,Charlottetown - Winsloe,Charlottetown-Winsloe,charlottetown-winsloe,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-winsloe/
11,Charlottetown - Belvedere,Charlottetown-Belvedere,charlottetown-belvedere,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-belvedere/
12,Charlottetown - Victoria Park,Charlottetown-Victoria Park,charlottetown-victoria-park,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-victoria-park/
13,Charlottetown - Brighton,Charlottetown-Brighton,charlottetown-brighton,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-brighton/
14,Charlottetown - West Royalty,Charlottetown-West Royalty,charlottetown-west-royalty,/boundaries/prince-edward-island-electoral-districts-2017/charlottetown-west-royalty/
15,Brackley - Hunter River,Brackley-Hunter River,brackley-hunter-river,/boundaries/prince-edward-island-electoral-districts-2017/brackley-hunter-river/
16,Cornwall - Meadowbank,Cornwall-Meadowbank,cornwall-meadowbank,/boundaries/prince-edward-island-electoral-districts-2017/cornwall-meadowbank/
17,New Haven - Rocky Point,New Haven-Rocky Point,new-haven-rocky-point,/boundaries/prince-edward-island-electoral-districts-2017/new-haven-rocky-point/
18,Rustico - Emerald,Rustico-Emerald,rustico-emerald,/boundaries/prince-edward-island-electoral-districts-2017/rustico-emerald/
19,Borden - Kinkora,Borden-Kinkora,borden-kinkora,/boundaries/prince-edward-island-electoral-districts-2017/borden-kinkora/
20,Kensington - Malpeque,Kensington-Malpeque,kensington-malpeque,/boundaries/prince-edward-island-electoral-districts-2017/kensington-malpeque/
21,Summerside - Wilmot,Summerside-Wilmot,summerside-wilmot,/boundaries/prince-edward-island-electoral-districts-2017/summerside-wilmot/
22,Summerside - South Drive,Summerside-South Drive,summerside-south-drive,/boundaries/prince-edward-island-electoral-districts-2017/summerside-south-drive/
23,Tyne Valley - Sherbrooke,Tyne Valley-Sherbrooke,tyne-valley-sherbrooke,/boundaries/prince-edward-island-electoral-districts-2017/tyne-valley-sherbrooke/
24,Evangeline - Miscouche,Evangeline-Miscouche,evangeline-miscouche,/boundaries/prince-edward-island-electoral-districts-2017/evangeline-miscouche/
25,O'Leary - Inverness,O'Leary-Inverness,oleary-inverness,/boundaries/prince-edward-island-electoral-districts-2017/oleary-inverness/
26,Alberton - Bloomfield,Alberton-Bloomfield,alberton-bloomfield,/boundaries/prince-edward-island-electoral-districts-2017/alberton-bloomfield/
27,Tignish - Palmer Road,Tignish-Palmer Road,tignish-palmer-road,/boundaries/prince-edward-island-electoral-districts-2017/tignish-palmer-road/
